
  1%|▉                                                                                                                                                    | 12/1850 [00:01<04:03,  7.56it/s]
{'loss': 0.4626, 'grad_norm': 2.765226364135742, 'learning_rate': 0.0002910022307421497, 'epoch': 0.55}
{'loss': 0.2319, 'grad_norm': 1.9315861463546753, 'learning_rate': 0.0002909151326887345, 'epoch': 0.56}
{'loss': 0.3701, 'grad_norm': 2.264646053314209, 'learning_rate': 0.0002908276282726371, 'epoch': 0.56}
{'loss': 0.3113, 'grad_norm': 2.4478766918182373, 'learning_rate': 0.0002907397177461977, 'epoch': 0.56}
{'loss': 0.5863, 'grad_norm': 3.274257183074951, 'learning_rate': 0.00029065140136292733, 'epoch': 0.56}
{'loss': 0.4519, 'grad_norm': 2.7196052074432373, 'learning_rate': 0.0002905626793775075, 'epoch': 0.57}

 12%|██████████████████▎                                                                                                                                 | 229/1850 [00:30<03:35,  7.52it/s]
{'loss': 0.5525, 'grad_norm': 3.1238043308258057, 'learning_rate': 0.0002903840196247934, 'epoch': 0.57}
{'loss': 0.5469, 'grad_norm': 2.84863543510437, 'learning_rate': 0.0002902940823727075, 'epoch': 0.58}
{'loss': 0.4871, 'grad_norm': 2.709465503692627, 'learning_rate': 0.0002902037405488874, 'epoch': 0.58}
{'loss': 0.3816, 'grad_norm': 2.2353038787841797, 'learning_rate': 0.0002901129944138556, 'epoch': 0.58}
{'loss': 0.2289, 'grad_norm': 1.6644511222839355, 'learning_rate': 0.0002900218442293003, 'epoch': 0.58}
{'loss': 0.6145, 'grad_norm': 3.417475938796997, 'learning_rate': 0.00028993029025807505, 'epoch': 0.59}
{'loss': 0.3401, 'grad_norm': 2.2380990982055664, 'learning_rate': 0.00028983833276419776, 'epoch': 0.59}
{'loss': 0.4936, 'grad_norm': 3.1052963733673096, 'learning_rate': 0.00028974597201284993, 'epoch': 0.59}
{'loss': 0.2082, 'grad_norm': 1.625625729560852, 'learning_rate': 0.00028965320827037606, 'epoch': 0.59}
{'loss': 0.7362, 'grad_norm': 3.2291953563690186, 'learning_rate': 0.00028956004180428265, 'epoch': 0.6}
{'loss': 0.5146, 'grad_norm': 2.8424150943756104, 'learning_rate': 0.00028946647288323766, 'epoch': 0.6}
{'loss': 0.1423, 'grad_norm': 1.3469489812850952, 'learning_rate': 0.00028937250177706964, 'epoch': 0.6}
{'loss': 0.2929, 'grad_norm': 2.1397695541381836, 'learning_rate': 0.0002892781287567667, 'epoch': 0.61}
{'loss': 0.3332, 'grad_norm': 2.749241590499878, 'learning_rate': 0.0002891833540944764, 'epoch': 0.61}
{'loss': 0.1078, 'grad_norm': 1.2797771692276, 'learning_rate': 0.00028908817806350405, 'epoch': 0.61}

 13%|███████████████████▍                                                                                                                                | 243/1850 [00:32<04:03,  6.60it/s]
{'loss': 0.3833, 'grad_norm': 2.5897762775421143, 'learning_rate': 0.0002888966229945221, 'epoch': 0.62}
{'loss': 0.3312, 'grad_norm': 2.2529871463775635, 'learning_rate': 0.0002888002445089075, 'epoch': 0.62}
{'loss': 0.4007, 'grad_norm': 2.453096866607666, 'learning_rate': 0.0002887034657593997, 'epoch': 0.62}
{'loss': 0.4361, 'grad_norm': 2.9067270755767822, 'learning_rate': 0.0002886062870250833, 'epoch': 0.62}
{'loss': 0.4468, 'grad_norm': 2.4728620052337646, 'learning_rate': 0.0002885087085861967, 'epoch': 0.63}
{'loss': 0.3819, 'grad_norm': 2.5330162048339844, 'learning_rate': 0.00028841073072413074, 'epoch': 0.63}
{'loss': 0.3229, 'grad_norm': 2.9063560962677, 'learning_rate': 0.00028831235372142817, 'epoch': 0.63}
{'loss': 0.2404, 'grad_norm': 2.396016836166382, 'learning_rate': 0.00028821357786178273, 'epoch': 0.64}
{'loss': 0.4068, 'grad_norm': 2.8857762813568115, 'learning_rate': 0.0002881144034300383, 'epoch': 0.64}
